transmission,model,modelyear,price,fuel_type,seats,kms_driven,ownership,engine,max_power,mileage,place
Manual,Maruti Celerio,2018,₹ 4.01 Lakh,CNG,5 Seats,"98,705 Kms",First Owner,998 CC,55.92bhp,35.6 km/kg,Delhi
Automatic,Kia Carnival,2020,₹ 29.50 Lakh,Diesel,7 Seats,"62,000 Kms",First Owner,2199 CC,197.26bhp,14.11 kmpl,Delhi
Manual,Honda Amaze,2014,₹ 3.80 Lakh,Petrol,5 Seats,"28,000 Kms",First Owner,1198 CC,86.7bhp,18 kmpl,Delhi
Manual,Mahindra Bolero Power Plus,2020,₹ 8.25 Lakh,Diesel,7 Seats,"36,000 Kms",First Owner,1493 CC,70bhp,16.5 kmpl,Delhi
Manual,Maruti Swift Dzire,2017,₹ 6.35 Lakh,Diesel,5 Seats,"32,000 Kms",First Owner,1248 CC,74.02bhp,28.4 kmpl,Delhi
Automatic,BMW X1,2017,₹ 22.50 Lakh,Diesel,5 Seats,"38,000 Kms",First Owner,1995 CC,188bhp,20.68 kmpl,Delhi
Manual,Maruti Alto K10,2017,₹ 3.40 Lakh,Petrol,5 Seats,"33,000 Kms",First Owner,998 CC,67.1bhp,23.95 kmpl,Delhi
Automatic,Hyundai Verna,2018,₹ 9.50 Lakh,Diesel,5 Seats,"68,045 Kms",First Owner,1582 CC,126.2bhp,22 kmpl,Delhi
Manual,Mahindra Scorpio Classic,2022,₹ 18.25 Lakh,Diesel,7 Seats,"12,000 Kms",First Owner,2184 CC,130.07bhp,,Delhi
Automatic,Mercedes-Benz GLC,2023,₹ 72 Lakh,Diesel,5 Seats,"4,000 Kms",First Owner,1950 CC,194bhp,,Delhi
Manual,Maruti Wagon R,2018,₹ 3.92 Lakh,Petrol,5 Seats,"19,765 Kms",First Owner,998 CC,67.04bhp,20.51 kmpl,Delhi
Manual,Mahindra XUV300,2021,₹ 12.05 Lakh,Petrol,5 Seats,"7,076 Kms",First Owner,1197 CC,108.62bhp,16.82 kmpl,Delhi
Manual,Honda City,2017,₹ 7.43 Lakh,Petrol,5 Seats,"30,560 Kms",First Owner,1497 CC,117.3bhp,17.8 kmpl,Delhi
Automatic,Jaguar XE,2020,₹ 33.75 Lakh,Diesel,5 Seats,"5,000 Kms",First Owner,1999 CC,177bhp,,Delhi
Manual,Maruti Celerio,2018,₹ 4.85 Lakh,CNG,5 Seats,"47,944 Kms",First Owner,998 CC,58.33bhp,31.79 kmpl,Delhi
Automatic,Hyundai Creta,2016,₹ 8.79 Lakh,Petrol,5 Seats,"78,550 Kms",First Owner,1591 CC,121.3bhp,13 kmpl,Delhi
Automatic,Hyundai Tucson,2017,₹ 10.50 Lakh,Petrol,5 Seats,"65,000 Kms",First Owner,1999 CC,152.88bhp,12.95 kmpl,Delhi
Automatic,Kia Seltos,2022,₹ 19.80 Lakh,Diesel,5 Seats,"32,000 Kms",First Owner,1493 CC,113.43bhp,18 kmpl,Delhi
Manual,Honda Amaze,2017,₹ 4.62 Lakh,Petrol,5 Seats,"58,996 Kms",Second Owner,1199 CC,88.76bhp,19.5 kmpl,Delhi
Automatic,Jaguar XE,2018,₹ 26.50 Lakh,Diesel,5 Seats,"34,000 Kms",Second Owner,1999 CC,177bhp,13.5 kmpl,Delhi
Manual,Hyundai i20,2015,₹ 5.09 Lakh,Petrol,5 Seats,"59,537 Kms",Second Owner,1197 CC,81.83bhp,18.6 kmpl,Delhi
Manual,Maruti Wagon R,2022,₹ 5.30 Lakh,Petrol,5 Seats,"9,314 Kms",First Owner,998 CC,67.05bhp,21.79 kmpl,Delhi
Manual,Nissan Kicks,2019,₹ 7 Lakh,Petrol,,"60,000 Kms",Second Owner,1498 CC,104.55bhp,,Delhi
Manual,Honda Amaze,2014,₹ 3.10 Lakh,Petrol,5 Seats,"41,684 Kms",First Owner,1199 CC,88.76bhp,18.6 kmpl,Delhi
Automatic,Audi A4,2011,₹ 7 Lakh,Petrol,5 Seats,"70,000 Kms",Third Owner,1781 CC,163.2,12.3 kmpl,Delhi
Manual,Toyota Etios Liva,2016,₹ 4.40 Lakh,Petrol,5 Seats,"51,607 Kms",First Owner,1197 CC,78.9bhp,18.16 kmpl,Delhi
Manual,Tata Zest,2015,₹ 4 Lakh,Diesel,5 Seats,"90,000 Kms",First Owner,1248 CC,88.7bhp,20.65 kmpl,Delhi
Automatic,Kia Carnival,2020,₹ 30.50 Lakh,Diesel,7 Seats,"30,000 Kms",First Owner,2199 CC,197.26bhp,14.11 kmpl,Delhi
Manual,Mahindra Thar,2022,₹ 15.75 Lakh,Diesel,4 Seats,"40,000 Kms",First Owner,2184 CC,130bhp,15.2 kmpl,Delhi
Automatic,Mercedes-Benz GLC,2020,₹ 49.95 Lakh,Diesel,5 Seats,"35,000 Kms",First Owner,1950 CC,194bhp,,Delhi
Manual,Maruti Swift,2013,₹ 3.60 Lakh,Petrol,5 Seats,"97,672 Kms",First Owner,1197 CC,88.50bhp,22.38 kmpl,Delhi
Manual,Hyundai Verna,2014,₹ 3.60 Lakh,Petrol,5 Seats,"90,000 Kms",Third Owner,1591 CC,121.3bhp,17.01 kmpl,Delhi
Manual,Nissan Micra,2015,₹ 3.44 Lakh,Petrol,5 Seats,"68,740 Kms",Second Owner,1198 CC,75bhp,18.06 kmpl,Delhi
Automatic,Mercedes-Benz C-Class,2018,₹ 35.65 Lakh,Petrol,5 Seats,"37,000 Kms",First Owner,1991 CC,184bhp,14.74 kmpl,Delhi
Manual,Maruti Ciaz,2017,₹ 6 Lakh,Diesel,5 Seats,"40,000 Kms",First Owner,1248 CC,88.5bhp,28.09 kmpl,Delhi
Manual,Honda Amaze,2015,₹ 3.40 Lakh,Petrol,5 Seats,"86,245 Kms",Second Owner,1198 CC,86.7bhp,18 kmpl,Delhi
Automatic,Volkswagen Polo,2016,₹ 6.75 Lakh,Petrol,5 Seats,"40,000 Kms",Second Owner,1197 CC,103.5bhp,17.21 kmpl,Delhi
Automatic,BMW 3 Series GT,2020,₹ 43.75 Lakh,Petrol,5 Seats,"15,000 Kms",Second Owner,1998 CC,248bhp,15.34 kmpl,Delhi
Manual,Maruti Alto 800,2016,₹ 2.94 Lakh,Petrol,5 Seats,"60,896 Kms",Second Owner,796 CC,47.33bhp,22.05 kmpl,Delhi
Manual,Honda City,2013,₹ 3.75 Lakh,Petrol,5 Seats,"60,000 Kms",First Owner,1497 CC,116.3bhp,16.8 kmpl,Delhi
Automatic,Maruti Swift Dzire,2021,₹ 8.01 Lakh,Petrol,5 Seats,"18,340 Kms",Second Owner,1197 CC,88.50bhp,22.61 kmpl,Delhi
Automatic,Jeep Compass,2022,₹ 29 Lakh,Diesel,5 Seats,"20,000 Kms",First Owner,1956 CC,167.67bhp,14.9 kmpl,Delhi
Automatic,Hyundai Creta,2017,₹ 8 Lakh,Diesel,5 Seats,"70,000 Kms",Second Owner,1582 CC,126.2bhp,17.01 kmpl,Delhi
Manual,Maruti Wagon R,2015,₹ 3.13 Lakh,CNG,5 Seats,"75,000 Kms",First Owner,998 CC,67.04bhp,33.54 kmpl,Delhi
Manual,Honda WR-V,2017,₹ 5.10 Lakh,Petrol,5 Seats,"40,000 Kms",First Owner,1199 CC,88.7bhp,17.5 kmpl,Delhi
Automatic,Audi Q3,2014,₹ 11.25 Lakh,Diesel,5 Seats,"57,000 Kms",Second Owner,1968 CC,174.33bhp,15.73 kmpl,Delhi
Manual,Maruti Baleno,2016,₹ 4.55 Lakh,Petrol,5 Seats,"48,000 Kms",First Owner,1197 CC,83.1bhp,21.4 kmpl,Delhi
Manual,Honda City,2011,₹ 3 Lakh,Petrol,5 Seats,"1,20,000 Kms",First Owner,1497 CC,"118PS at 6,600 rpm",17 kmpl,Delhi
Automatic,Ford Ecosport,2017,₹ 7.25 Lakh,Petrol,5 Seats,"25,000 Kms",First Owner,1496 CC,120.69bhp,14.7 kmpl,Delhi
Automatic,Toyota Innova Crysta,2021,₹ 23.25 Lakh,Diesel,7 Seats,"29,000 Kms",First Owner,2393 CC,148bhp,12 kmpl,Delhi
Manual,Ford Figo,2019,₹ 5.15 Lakh,Diesel,5 Seats,"63,176 Kms",First Owner,1498 CC,99bhp,25.83 kmpl,Delhi
Automatic,Audi A4,2021,₹ 40 Lakh,Petrol,5 Seats,"24,000 Kms",First Owner,1998 CC,187.74bhp,17.42 kmpl,Delhi
Manual,Renault KWID,2020,₹ 4.18 Lakh,Petrol,5 Seats,"22,820 Kms",First Owner,999 CC,67bhp,21.74 kmpl,Delhi
Automatic,Land Rover Range Rover Evoque,2022,₹ 76 Lakh,Diesel,5 Seats,"5,000 Kms",First Owner,1997 CC,246.74bhp,,Delhi
Manual,Hyundai i10,2009,₹ 2 Lakh,Petrol,5 Seats,"30,000 Kms",First Owner,1197 CC,78.9bhp,20.36 kmpl,Delhi
Automatic,Maruti Swift Dzire,2017,₹ 6.85 Lakh,Petrol,5 Seats,"74,538 Kms",First Owner,1197 CC,81.80bhp,21.21 kmpl,Delhi
Automatic,Mercedes-Benz GLC,2019,₹ 36 Lakh,Petrol,5 Seats,"40,000 Kms",First Owner,1991 CC,245bhp,11.5 kmpl,Delhi
Manual,Maruti Alto 800,2018,₹ 2.89 Lakh,Petrol,5 Seats,"45,399 Kms",First Owner,796 CC,47.33bhp,22.05 kmpl,Delhi
Manual,Volkswagen Ameo,2018,₹ 6.10 Lakh,Petrol,5 Seats,"24,940 Kms",Second Owner,999 CC,75bhp,19.44 kmpl,Delhi
Automatic,Hyundai Creta,2019,₹ 14 Lakh,Diesel,5 Seats,"22,000 Kms",First Owner,1582 CC,126.2bhp,17.01 kmpl,Delhi
Manual,Honda Amaze,2014,₹ 3.23 Lakh,Petrol,5 Seats,"98,681 Kms",First Owner,1198 CC,86.7bhp,18 kmpl,Delhi
Automatic,Mercedes-Benz GLE,2023,₹ 95 Lakh,Diesel,5 Seats,"6,000 Kms",First Owner,1950 CC,241.38bhp,,Delhi
Manual,Maruti Baleno,2017,₹ 5.25 Lakh,Petrol,5 Seats,"40,000 Kms",First Owner,1197 CC,81.80bhp,21.01 kmpl,Delhi
Manual,Honda WR-V,2018,₹ 7.25 Lakh,Diesel,5 Seats,"58,000 Kms",First Owner,1498 CC,98.6bhp,25.5 kmpl,Delhi
Manual,Hyundai i20,2015,₹ 4.25 Lakh,Diesel,5 Seats,"75,000 Kms",First Owner,1396 CC,88.73bhp,22.54 kmpl,Delhi
Manual,Ford Ecosport,2014,₹ 3.50 Lakh,Diesel,5 Seats,"76,000 Kms",First Owner,1498 CC,89.84bhp,22.7 kmpl,Delhi
Automatic,Renault KWID,2017,₹ 3.25 Lakh,Petrol,5 Seats,"60,000 Kms",First Owner,999 CC,67bhp,24.04 kmpl,Delhi
Automatic,Honda City,2016,₹ 6.75 Lakh,Petrol,5 Seats,"58,000 Kms",First Owner,1497 CC,117.3bhp,18 kmpl,Delhi
Manual,Volkswagen Jetta,2013,₹ 4.15 Lakh,Petrol,5 Seats,"80,000 Kms",Second Owner,1390 CC,120.3bhp,14.69 kmpl,Delhi
Automatic,Volvo S90,2018,₹ 38.75 Lakh,Diesel,5 Seats,"20,000 Kms",First Owner,1969 CC,190bhp,18 kmpl,Delhi
Manual,Maruti Baleno,2017,₹ 5.89 Lakh,Petrol,5 Seats,"42,841 Kms",First Owner,1197 CC,83.1bhp,21.4 kmpl,Delhi
Manual,Maruti Vitara Brezza,2017,₹ 6.50 Lakh,Diesel,5 Seats,"67,000 Kms",First Owner,1248 CC,88.5bhp,24.3 kmpl,Delhi
Manual,Maruti XL6,2020,₹ 10.27 Lakh,Petrol,6 Seats,"26,000 Kms",First Owner,1462 CC,103.2bhp,19.01 kmpl,Delhi
Manual,Maruti Wagon R,2017,₹ 3.75 Lakh,Petrol,5 Seats,"40,000 Kms",First Owner,998 CC,67.1bhp,18.9 kmpl,Delhi
Manual,Mahindra XUV500,2019,₹ 13 Lakh,Diesel,7 Seats,"60,000 Kms",First Owner,2179 CC,152.87bhp,15.1 kmpl,Delhi
Manual,Hyundai Verna,2015,₹ 9.03 Lakh,Petrol,5 Seats,"37,140 Kms",Second Owner,1591 CC,121.3bhp,17.01 kmpl,Delhi
Manual,Maruti Celerio,2018,₹ 3.50 Lakh,CNG,5 Seats,"1,20,000 Kms",First Owner,998 CC,58.33bhp,31.79 kmpl,Delhi
Automatic,Toyota Fortuner,2018,₹ 28.50 Lakh,Diesel,7 Seats,"74,000 Kms",First Owner,2755 CC,174.5bhp,12.9 kmpl,Delhi
Manual,Hyundai i20,2021,₹ 9.04 Lakh,Petrol,5 Seats,"16,430 Kms",First Owner,1197 CC,81.80bhp,21 kmpl,Delhi
Manual,Toyota Urban cruiser,2022,₹ 9.50 Lakh,Petrol,5 Seats,"10,000 Kms",First Owner,1462 CC,103.26bhp,17.03 kmpl,Delhi
Automatic,Honda City,2017,₹ 9.49 Lakh,Petrol,5 Seats,"63,054 Kms",First Owner,1497 CC,117.6bhp,18 kmpl,Delhi
Automatic,Skoda Superb,2022,₹ 39 Lakh,Petrol,5 Seats,"12,000 Kms",First Owner,1984 CC,187.74bhp,15.1 kmpl,Delhi
Automatic,Mercedes-Benz E-Class,2022,₹ 74 Lakh,Diesel,5 Seats,"13,000 Kms",First Owner,1950 CC,191.76bhp,16.1 kmpl,Delhi
Automatic,Hyundai Creta,2018,₹ 10.99 Lakh,Diesel,5 Seats,"32,000 Kms",Second Owner,1582 CC,126.2bhp,17.01 kmpl,Delhi
Manual,Hyundai Creta,2022,₹ 15.11 Lakh,Petrol,5 Seats,"3,500 Kms",First Owner,1497 CC,113.18bhp,,Delhi
Automatic,Mercedes-Benz SLC,2017,₹ 64.75 Lakh,Petrol,2 Seats,"7,023 Kms",First Owner,2996 CC,362.07bhp,19 kmpl,Delhi
Automatic,Mercedes-Benz GLE,2022,₹ 92 Lakh,Diesel,5 Seats,"5,000 Kms",First Owner,1950 CC,241.38bhp,,Delhi
Automatic,Mercedes-Benz A-Class Limousine,2021,₹ 40 Lakh,Petrol,5 Seats,"11,000 Kms",First Owner,1332 CC,160.92bhp,,Delhi
Automatic,Mercedes-Benz C-Class,2020,₹ 42.50 Lakh,Petrol,5 Seats,"11,000 Kms",First Owner,1950 CC,201.15bhp,11.9 kmpl,Delhi
Manual,Maruti Swift,2017,₹ 4.22 Lakh,Petrol,5 Seats,"50,629 Kms",First Owner,1197 CC,88.50bhp,22.38 kmpl,Delhi
Automatic,Maruti Baleno,2019,₹ 6.78 Lakh,Petrol,5 Seats,"63,534 Kms",First Owner,1197 CC,83.1bhp,21.4 kmpl,Delhi
Manual,Hyundai EON,2018,₹ 3 Lakh,Petrol,5 Seats,"52,000 Kms",First Owner,998 CC,68.05bhp,20.3 kmpl,Delhi
Manual,Maruti Alto 800,2022,₹ 4.96 Lakh,CNG,4 Seats,"33,695 Kms",First Owner,796 CC,40.36bhp,31.59 km/kg,Delhi
Automatic,Honda Jazz,2015,₹ 4.63 Lakh,Petrol,5 Seats,"68,744 Kms",First Owner,1199 CC,88.7bhp,19 kmpl,Delhi
Manual,Honda City,2013,₹ 4.55 Lakh,Petrol,5 Seats,"70,000 Kms",First Owner,1497 CC,116.3bhp,16.8 kmpl,Delhi
Automatic,Tata Tiago,2020,₹ 7.51 Lakh,Petrol,5 Seats,"9,540 Kms",First Owner,1199 CC,83.83bhp,23.84 kmpl,Delhi
Automatic,Maruti Ciaz,2017,₹ 7.75 Lakh,Petrol,5 Seats,"45,000 Kms",First Owner,1373 CC,91.1bhp,19.12 kmpl,Delhi
Manual,Maruti Baleno,2019,₹ 6.78 Lakh,Petrol,5 Seats,"36,861 Kms",First Owner,1197 CC,83.1bhp,21.4 kmpl,Delhi
Manual,Ford Ecosport,2017,₹ 5.50 Lakh,Petrol,5 Seats,"68,000 Kms",First Owner,1496 CC,120.69bhp,15.9 kmpl,Delhi
Manual,Maruti Swift Dzire,2014,₹ 3.90 Lakh,Petrol,5 Seats,"68,000 Kms",First Owner,1197 CC,85.8bhp,19.1 kmpl,Delhi
Manual,Maruti Swift,2015,₹ 3.95 Lakh,Petrol,5 Seats,"38,000 Kms",First Owner,1197 CC,81.80bhp,21.21 kmpl,Delhi
Manual,Renault KWID,2017,₹ 2.95 Lakh,Petrol,5 Seats,"39,000 Kms",First Owner,999 CC,67bhp,23.01 kmpl,Delhi
Manual,Volkswagen Polo,2017,₹ 5.99 Lakh,Petrol,5 Seats,"40,000 Kms",First Owner,1199 CC,74bhp,16.2 kmpl,Delhi
Automatic,MG Hector Plus,2020,₹ 17.49 Lakh,Petrol,6 Seats,"18,000 Kms",First Owner,1451 CC,141bhp,11.67 kmpl,Delhi
Automatic,Maruti Wagon R,2019,₹ 3.99 Lakh,Petrol,5 Seats,"60,000 Kms",First Owner,998 CC,67bhp,20.51 kmpl,Delhi
Manual,Ford Aspire,2018,₹ 4.49 Lakh,Diesel,5 Seats,"40,000 Kms",First Owner,1498 CC,99bhp,25.83 kmpl,Delhi
Manual,Maruti Alto K10,2018,₹ 3 Lakh,Petrol,5 Seats,"68,000 Kms",First Owner,998 CC,67.05bhp,23.95 kmpl,Delhi
Manual,Maruti Ignis,2017,₹ 4.49 Lakh,Petrol,5 Seats,"40,000 Kms",Second Owner,1197 CC,81.80bhp,20.89 kmpl,Delhi
Manual,Maruti Wagon R,2014,₹ 2.95 Lakh,Petrol,5 Seats,"37,000 Kms",First Owner,998 CC,67.05bhp,21.79 kmpl,Delhi
Automatic,Maruti Swift Dzire,2018,₹ 6.49 Lakh,Petrol,5 Seats,"21,912 Kms",First Owner,1197 CC,81.80bhp,21.21 kmpl,Delhi
Manual,Hyundai i10,2013,₹ 2.74 Lakh,Petrol,5 Seats,"74,564 Kms",First Owner,1197 CC,78.9bhp,20.36 kmpl,Delhi
Manual,Maruti Alto 800,2019,₹ 3.75 Lakh,Petrol,5 Seats,"48,000 Kms",First Owner,796 CC,47.3bhp,24.7 kmpl,Delhi
Automatic,Honda City,2017,₹ 8.01 Lakh,Petrol,5 Seats,"96,758 Kms",First Owner,1497 CC,117.3bhp,18 kmpl,Delhi
Manual,Honda Amaze,2018,₹ 5.91 Lakh,Diesel,5 Seats,"60,341 Kms",First Owner,1498 CC,98.6bhp,25.8 kmpl,Delhi
Manual,Maruti Swift,2017,₹ 4.34 Lakh,Petrol,5 Seats,"36,973 Kms",First Owner,1197 CC,83.11bhp,20.4 kmpl,Delhi
Manual,Maruti Ciaz,2017,₹ 6.99 Lakh,Diesel,5 Seats,"39,000 Kms",First Owner,1248 CC,88.5bhp,28.09 kmpl,Delhi
Manual,Maruti Wagon R,2013,₹ 2.71 Lakh,Petrol,5 Seats,"52,514 Kms",First Owner,998 CC,67.1bhp,18.9 kmpl,Delhi
Manual,Maruti Wagon R,2022,₹ 5.55 Lakh,Petrol,5 Seats,"13,001 Kms",First Owner,1197 CC,81.80bhp,21.5 kmpl,Delhi
Manual,Hyundai Creta,2018,₹ 8.25 Lakh,Diesel,5 Seats,"72,000 Kms",First Owner,1396 CC,88.7bhp,22.1 kmpl,Delhi
Manual,Ford Ecosport,2017,₹ 5.99 Lakh,Petrol,5 Seats,"62,000 Kms",First Owner,1496 CC,120.69bhp,15.9 kmpl,Delhi
Manual,Toyota Etios,2017,₹ 4.81 Lakh,Petrol,5 Seats,"34,000 Kms",First Owner,1496 CC,88.73bhp,16.78 kmpl,Delhi
Manual,Honda Amaze,2015,₹ 3.85 Lakh,Petrol,5 Seats,"67,000 Kms",First Owner,1198 CC,86.7bhp,18 kmpl,Delhi
Manual,Volkswagen Polo,2019,₹ 6.99 Lakh,Petrol,5 Seats,"45,000 Kms",First Owner,999 CC,75bhp,18.78 kmpl,Delhi
Manual,Maruti Swift Dzire,2013,₹ 3.31 Lakh,Petrol,5 Seats,"64,000 Kms",First Owner,1197 CC,83.14bhp,20.85 kmpl,Delhi
Manual,Chevrolet Beat,2013,₹ 1.78 Lakh,Petrol,5 Seats,"58,000 Kms",Second Owner,1199 CC,79.4bhp,18.6 kmpl,Delhi
Automatic,Hyundai Creta,2017,₹ 9.25 Lakh,Petrol,5 Seats,"48,000 Kms",Second Owner,1591 CC,121.3bhp,14.8 kmpl,Delhi
Manual,Maruti Ritz,2013,₹ 2.90 Lakh,Petrol,5 Seats,"70,000 Kms",First Owner,1197 CC,85.80bhp,18.5 kmpl,Delhi
Automatic,Maruti Ciaz,2017,₹ 5.70 Lakh,Petrol,5 Seats,"59,863 Kms",Second Owner,1373 CC,91.1bhp,19.12 kmpl,Delhi
Manual,Maruti Alto 800,2022,₹ 4.92 Lakh,CNG,4 Seats,"18,468 Kms",First Owner,796 CC,40.36bhp,31.59 km/kg,Delhi
Manual,Ford Freestyle,2018,₹ 5.30 Lakh,Petrol,5 Seats,"42,173 Kms",Second Owner,1194 CC,94.68bhp,19 kmpl,Delhi
Automatic,Ford Ecosport,2015,₹ 4.65 Lakh,Petrol,5 Seats,"68,631 Kms",Second Owner,1496 CC,120.69bhp,14.7 kmpl,Delhi
Manual,Maruti Alto 800,2021,₹ 3.51 Lakh,Petrol,5 Seats,"18,833 Kms",First Owner,796 CC,47.33bhp,22.05 kmpl,Delhi
Manual,Maruti Ignis,2021,₹ 5.15 Lakh,Petrol,5 Seats,"55,418 Kms",First Owner,1197 CC,81.80bhp,20.89 kmpl,Delhi
Manual,Maruti Wagon R,2013,₹ 2.25 Lakh,Petrol,5 Seats,"20,000 Kms",First Owner,998 CC,67.04bhp,20.51 kmpl,Delhi
Manual,Renault Triber,2020,₹ 6.20 Lakh,Petrol,7 Seats,"53,400 Kms",First Owner,999 CC,71.01bhp,20 kmpl,Delhi
Manual,Renault KWID,2018,₹ 3.49 Lakh,Petrol,5 Seats,"25,000 Kms",First Owner,999 CC,67bhp,23.01 kmpl,Delhi
Automatic,Jeep Compass,2019,₹ 13.85 Lakh,Petrol,5 Seats,"87,576 Kms",First Owner,1368 CC,160.77bhp,14.1 kmpl,Delhi
Manual,Honda Brio,2014,₹ 2.90 Lakh,Petrol,5 Seats,"58,000 Kms",First Owner,1198 CC,86.8bhp,19.4 kmpl,Delhi
Manual,Datsun GO Plus,2015,₹ 2.85 Lakh,Petrol,7 Seats,"75,000 Kms",First Owner,1198 CC,67bhp,19.44 kmpl,Delhi
Automatic,Volkswagen Vento,2013,₹ 3.30 Lakh,Petrol,5 Seats,"69,000 Kms",First Owner,1598 CC,105 PS at 5250 rpm,14.8 kmpl,Delhi
Manual,Mahindra Thar,2015,₹ 5.49 Lakh,Diesel,6 Seats,"20,000 Kms",First Owner,2498 CC,105bhp,16.55 kmpl,Delhi
Manual,Maruti Alto 800,2020,₹ 3.65 Lakh,Petrol,5 Seats,"45,000 Kms",First Owner,796 CC,47.33bhp,22.05 kmpl,Delhi
Manual,Maruti Swift Dzire Tour,2021,₹ 6.50 Lakh,CNG,5 Seats,"20,000 Kms",First Owner,1197 CC,70.40Bhp,26.55 kmpl,Delhi
Manual,Maruti SX4 S Cross,2015,₹ 4.49 Lakh,Diesel,5 Seats,"70,000 Kms",First Owner,1248 CC,88.5bhp,23.65 kmpl,Delhi
Automatic,Honda Jazz,2017,₹ 5.99 Lakh,Petrol,5 Seats,"72,000 Kms",First Owner,1199 CC,88.7bhp,19 kmpl,Delhi
Automatic,MG Gloster,2023,₹ 46.45 Lakh,Diesel,6 Seats,"7,800 Kms",,1996 CC,212.55bhp,12.04 kmpl,Delhi
Manual,Tata Tiago,2020,₹ 4.99 Lakh,Petrol,5 Seats,"25,000 Kms",First Owner,1199 CC,84.82bhp,20.09 kmpl,Delhi
Automatic,Lexus RX,2020,₹ 88 Lakh,Petrol,5 Seats,"19,000 Kms",First Owner,3456 CC,258.81bhp,18.8 kmpl,Delhi
Automatic,Skoda Slavia,2022,₹ 13.58 Lakh,Petrol,5 Seats,"11,332 Kms",First Owner,999 CC,113.98bhp,18.07 kmpl,Delhi
Manual,Maruti Baleno,2016,₹ 5.60 Lakh,Petrol,5 Seats,"25,456 Kms",First Owner,1197 CC,83.1bhp,21.4 kmpl,Delhi
Manual,Maruti Wagon R,2013,₹ 2.75 Lakh,Petrol,5 Seats,"65,000 Kms",Second Owner,998 CC,67.05bhp,21.79 kmpl,Delhi
Automatic,Honda Jazz,2017,₹ 5.86 Lakh,Petrol,5 Seats,"93,616 Kms",First Owner,1199 CC,88.7bhp,19 kmpl,Delhi
Automatic,Maruti Celerio,2017,₹ 4.63 Lakh,Petrol,5 Seats,"74,134 Kms",First Owner,998 CC,65.71bhp,26 kmpl,Delhi
Automatic,Renault Duster,2018,₹ 6.99 Lakh,Petrol,5 Seats,"70,000 Kms",First Owner,1498 CC,104.5bhp,14.99 kmpl,Delhi
Manual,Maruti Baleno,2018,₹ 5.93 Lakh,Diesel,5 Seats,"62,411 Kms",Second Owner,1248 CC,74bhp,27.39 kmpl,Delhi
Automatic,Mercedes-Benz E-Class,2012,₹ 10.50 Lakh,Petrol,5 Seats,"56,000 Kms",Second Owner,1796 CC,185bhp,12.3 kmpl,Delhi
Manual,Mahindra KUV 100 NXT,2018,₹ 5.67 Lakh,Diesel,5 Seats,"63,661 Kms",Second Owner,1198 CC,77bhp,25.32 kmpl,Delhi
Automatic,MG Hector Plus,2021,₹ 17.50 Lakh,Petrol,6 Seats,"24,000 Kms",First Owner,1451 CC,141bhp,,Delhi
Manual,Volkswagen Taigun,2022,₹ 16.50 Lakh,Petrol,5 Seats,"14,000 Kms",First Owner,1498 CC,147.51bhp,17.88 kmpl,Delhi
Manual,Mahindra XUV500,2017,₹ 9.30 Lakh,Diesel,7 Seats,"70,000 Kms",First Owner,1997 CC,140bhp,16 kmpl,Delhi
Manual,Honda WR-V,2018,₹ 7.49 Lakh,Petrol,5 Seats,"50,000 Kms",First Owner,1199 CC,88.7bhp,17.5 kmpl,Delhi
Manual,Volkswagen Vento,2011,₹ 2.49 Lakh,Petrol,5 Seats,"74,000 Kms",First Owner,1598 CC,103.6bhp,15.04 kmpl,Delhi
Manual,Tata Hexa,2018,₹ 8.99 Lakh,Diesel,7 Seats,"70,000 Kms",First Owner,2179 CC,153.86bhp,17.6 kmpl,Delhi
Manual,Hyundai i10,2013,₹ 2.25 Lakh,Petrol,5 Seats,"65,000 Kms",First Owner,1086 CC,68.05bhp,19.81 kmpl,Delhi
Manual,Maruti Baleno,2015,₹ 3.99 Lakh,Diesel,5 Seats,"40,000 Kms",First Owner,1248 CC,74bhp,27.39 kmpl,Delhi
Manual,Chevrolet Spark,2010,"₹ 80,000 ",Petrol,5 Seats,"60,000 Kms",Third Owner,995 CC,62bhp,18 kmpl,Delhi
Automatic,Honda City,2010,₹ 2.25 Lakh,Petrol,5 Seats,"81,000 Kms",Third Owner,1497 CC,"118PS at 6,600 rpm",16.8 kmpl,Delhi
Manual,Maruti Alto,2012,₹ 1.37 Lakh,Petrol,5 Seats,"80,000 Kms",First Owner,796 CC,46.3bhp,19.7 kmpl,Delhi
Manual,Maruti Swift Dzire,2014,₹ 3.89 Lakh,Diesel,5 Seats,"1,07,539 Kms",First Owner,1248 CC,74bhp,23.4 kmpl,Delhi
Manual,Maruti Baleno,2016,₹ 5.48 Lakh,Petrol,5 Seats,"52,059 Kms",First Owner,1197 CC,83.1bhp,21.4 kmpl,Delhi
Manual,MG Hector,2021,₹ 16.95 Lakh,Petrol,5 Seats,"70,000 Kms",First Owner,1451 CC,141bhp,15.81 kmpl,Delhi
Manual,Hyundai i20,2021,₹ 8.74 Lakh,Petrol,5 Seats,"5,732 Kms",First Owner,1197 CC,81.80bhp,21 kmpl,Delhi
Manual,Honda Amaze,2018,₹ 5.96 Lakh,Petrol,5 Seats,"53,034 Kms",First Owner,1199 CC,88.76bhp,19.5 kmpl,Delhi
