transmission,model,modelyear,price,fuel_type,seats,kms_driven,ownership,engine,max_power,mileage,place
Automatic,Land Rover Discovery Sport,2017,₹ 39 Lakh,Diesel,7 Seats,"30,000 Kms",Second Owner,2179 CC,187.7bhp,12.51 kmpl,Chennai
Automatic,Honda City,2012,₹ 5.10 Lakh,Petrol,5 Seats,"71,423 Kms",First Owner,1497 CC,116.3bhp,15.6 kmpl,Chennai
Automatic,Maruti XL6,2019,₹ 12 Lakh,Petrol,6 Seats,"80,000 Kms",First Owner,1462 CC,103.2bhp,17.99 kmpl,Chennai
Manual,Honda City,2017,₹ 7.66 Lakh,Petrol,5 Seats,"85,759 Kms",First Owner,1497 CC,117.3bhp,17.8 kmpl,Chennai
Manual,Hyundai Santro,2019,₹ 4.49 Lakh,Petrol,5 Seats,"24,422 Kms",First Owner,1086 CC,68bhp,20.3 kmpl,Chennai
Manual,Hyundai Verna,2017,₹ 7.50 Lakh,Petrol,5 Seats,"90,000 Kms",Fourth Owner,1591 CC,121.3bhp,17 kmpl,Chennai
Manual,Honda Brio,2012,₹ 3.17 Lakh,Petrol,5 Seats,"67,091 Kms",Second Owner,1198 CC,86.8bhp,19.4 kmpl,Chennai
Manual,MG Hector,2020,₹ 15.60 Lakh,Petrol,5 Seats,"72,787 Kms",First Owner,1451 CC,141bhp,15.81 kmpl,Chennai
Manual,Ford Endeavour,2017,₹ 19 Lakh,Diesel,7 Seats,"1,20,000 Kms",Second Owner,2198 CC,157.7bhp,13.5 kmpl,Chennai
Manual,Hyundai Grand i10,2017,₹ 5.22 Lakh,Petrol,5 Seats,"90,142 Kms",First Owner,1197 CC,81.86bhp,18.9 kmpl,Chennai
Manual,Hyundai i20,2015,₹ 5 Lakh,Petrol,5 Seats,"1,50,000 Kms",First Owner,1197 CC,81.83bhp,18.6 kmpl,Chennai
Manual,Ford Freestyle,2018,₹ 6.27 Lakh,Petrol,5 Seats,"33,256 Kms",First Owner,1194 CC,94.68bhp,19 kmpl,Chennai
Automatic,Maruti Baleno,2018,₹ 6.87 Lakh,Petrol,5 Seats,"70,027 Kms",First Owner,1197 CC,83.1bhp,21.4 kmpl,Chennai
Manual,Hyundai Sonata,2007,₹ 2.05 Lakh,Diesel,5 Seats,"1,20,000 Kms",Third Owner,1991 CC,142 ,13.6 kmpl,Chennai
Manual,Volkswagen Polo,2015,₹ 5.25 Lakh,Petrol,5 Seats,"60,000 Kms",Second Owner,1199 CC,74bhp,16.2 kmpl,Chennai
Manual,Maruti Swift,2017,₹ 6.20 Lakh,Diesel,5 Seats,"73,686 Kms",First Owner,1248 CC,74bhp,25.2 kmpl,Chennai
Manual,Mahindra TUV 300,2018,₹ 8.25 Lakh,Diesel,7 Seats,"44,000 Kms",Second Owner,1493 CC,100bhp,18.49 kmpl,Chennai
Manual,Maruti Swift,2015,₹ 5.30 Lakh,Petrol,5 Seats,"75,581 Kms",First Owner,1197 CC,81.80bhp,21.21 kmpl,Chennai
Automatic,Mercedes-Benz M-Class,2015,₹ 36 Lakh,Diesel,5 Seats,"58,000 Kms",First Owner,2143 CC,203.2bhp,15.26 kmpl,Chennai
Automatic,Audi A3,2015,₹ 19.50 Lakh,Diesel,5 Seats,"50,000 Kms",Second Owner,1968 CC,143bhp,20.38 kmpl,Chennai
Manual,Mahindra TUV 300,2015,₹ 6.50 Lakh,Diesel,7 Seats,"1,00,000 Kms",First Owner,1493 CC,100bhp,18.49 kmpl,Chennai
Manual,Maruti Ciaz,2017,₹ 6.50 Lakh,Diesel,5 Seats,"1,08,902 Kms",First Owner,1248 CC,88.5bhp,28.09 kmpl,Chennai
Manual,Volkswagen Ameo,2016,₹ 5.70 Lakh,Diesel,5 Seats,"1,00,425 Kms",First Owner,1498 CC,108.62bhp,21.66 kmpl,Chennai
Manual,Hyundai Xcent,2016,₹ 4.58 Lakh,Petrol,5 Seats,"70,887 Kms",Second Owner,1197 CC,82bhp,19.1 kmpl,Chennai
Manual,Honda City,2016,₹ 5.77 Lakh,Petrol,5 Seats,"1,14,981 Kms",Second Owner,1497 CC,117.3bhp,17.8 kmpl,Chennai
Manual,Honda WR-V,2018,₹ 9 Lakh,Petrol,5 Seats,"45,000 Kms",First Owner,1199 CC,88.7bhp,17.5 kmpl,Chennai
Manual,Hyundai Grand i10 Nios,2021,₹ 6.49 Lakh,Petrol,5 Seats,"45,416 Kms",First Owner,1197 CC,81.86bhp,20.7 kmpl,Chennai
Manual,Hyundai i20,2016,₹ 5.49 Lakh,Petrol,5 Seats,"1,19,468 Kms",First Owner,1197 CC,81.83bhp,18.6 kmpl,Chennai
Automatic,Volkswagen Vento,2015,₹ 6.50 Lakh,Diesel,5 Seats,"1,00,000 Kms",Third Owner,1498 CC,103.2bhp,21.21 kmpl,Chennai
Manual,Maruti Swift Dzire,2017,₹ 5.14 Lakh,Petrol,5 Seats,"1,19,975 Kms",First Owner,1197 CC,88.50bhp,22.41 kmpl,Chennai
Automatic,BMW 3 Series,2017,₹ 39 Lakh,Petrol,5 Seats,"19,000 Kms",First Owner,1998 CC,252bhp,15.34 kmpl,Chennai
Manual,Hyundai Grand i10,2016,₹ 4.56 Lakh,Petrol,5 Seats,"64,906 Kms",Second Owner,1197 CC,82bhp,18.9 kmpl,Chennai
Manual,Maruti Baleno,2016,₹ 5.02 Lakh,Petrol,5 Seats,"81,484 Kms",Second Owner,1197 CC,83.1bhp,21.4 kmpl,Chennai
Manual,Maruti Swift Dzire,2018,₹ 6.85 Lakh,Petrol,5 Seats,"45,067 Kms",First Owner,1197 CC,81.80bhp,21.21 kmpl,Chennai
Automatic,Mercedes-Benz S-Class,2018,₹ 1.10 Crore,Petrol,4 Seats,"68,000 Kms",First Owner,4663 CC,459bhp,7.81 kmpl,Chennai
Manual,Honda Jazz,2016,₹ 5.80 Lakh,Petrol,5 Seats,"65,768 Kms",First Owner,1199 CC,88.7bhp,18.7 kmpl,Chennai
Manual,Honda Jazz,2016,₹ 5.30 Lakh,Petrol,5 Seats,"61,000 Kms",Second Owner,1199 CC,88.7bhp,18.7 kmpl,Chennai
Automatic,Mercedes-Benz S-Class,2009,₹ 17 Lakh,Diesel,5 Seats,"50,000 Kms",Third Owner,2987 CC,210,13 kmpl,Chennai
Automatic,BMW 5 Series,2018,₹ 43.75 Lakh,Diesel,5 Seats,"23,000 Kms",First Owner,1995 CC,190bhp,18.12 kmpl,Chennai
Automatic,BMW 7 Series,2018,₹ 82 Lakh,Diesel,5 Seats,"17,000 Kms",First Owner,2993 CC,258bhp,16.46 kmpl,Chennai
Automatic,Maruti Celerio,2017,₹ 4.20 Lakh,Petrol,5 Seats,"1,02,958 Kms",First Owner,998 CC,67.04bhp,23.1 kmpl,Chennai
Manual,Toyota Corolla Altis,2013,₹ 7.75 Lakh,Diesel,5 Seats,"62,900 Kms",First Owner,1364 CC,87.2bhp,21.43 kmpl,Chennai
Manual,Maruti Wagon R,2015,₹ 3.95 Lakh,Petrol,5 Seats,"65,076 Kms",Second Owner,998 CC,67.04bhp,20.51 kmpl,Chennai
Manual,Maruti Baleno,2016,₹ 5.33 Lakh,Petrol,5 Seats,"75,876 Kms",First Owner,1197 CC,83.1bhp,21.4 kmpl,Chennai
Manual,Hyundai i20,2015,₹ 5.47 Lakh,Petrol,5 Seats,"98,911 Kms",First Owner,1197 CC,81.83bhp,18.6 kmpl,Chennai
Manual,Maruti Celerio,2015,₹ 3.95 Lakh,Petrol,5 Seats,"45,000 Kms",First Owner,998 CC,67.04bhp,23.1 kmpl,Chennai
Automatic,Hyundai Verna,2017,₹ 9.08 Lakh,Diesel,5 Seats,"76,089 Kms",First Owner,1582 CC,126.2bhp,19.08 kmpl,Chennai
Manual,Hyundai Grand i10,2017,₹ 5.21 Lakh,Petrol,5 Seats,"54,505 Kms",Second Owner,1197 CC,81.86bhp,18.9 kmpl,Chennai
Automatic,Audi A3,2019,₹ 22.90 Lakh,Diesel,5 Seats,"24,000 Kms",First Owner,1968 CC,143bhp,20.38 kmpl,Chennai
Manual,Maruti Swift Dzire,2016,₹ 5.07 Lakh,Petrol,5 Seats,"96,573 Kms",First Owner,1197 CC,88.50bhp,22.41 kmpl,Chennai
Automatic,Kia Seltos,2019,₹ 16.25 Lakh,Diesel,5 Seats,"30,000 Kms",First Owner,1493 CC,113.43bhp,,Chennai
Manual,Hyundai Grand i10,2016,₹ 5.28 Lakh,Petrol,5 Seats,"63,720 Kms",Second Owner,1197 CC,82bhp,18.9 kmpl,Chennai
Manual,Maruti Alto 800,2021,₹ 4.35 Lakh,Petrol,5 Seats,"14,411 Kms",First Owner,796 CC,47.33bhp,22.05 kmpl,Chennai
Automatic,Volkswagen Taigun,2022,₹ 14.90 Lakh,Petrol,5 Seats,"11,000 Kms",First Owner,999 CC,113.98bhp,18.41 kmpl,Chennai
Automatic,Skoda Kushaq,2022,₹ 17.90 Lakh,Petrol,5 Seats,"21,000 Kms",First Owner,1498 CC,147.51bhp,18.86 kmpl,Chennai
Manual,Honda WR-V,2017,₹ 6.25 Lakh,Petrol,5 Seats,"34,392 Kms",First Owner,1199 CC,88.7bhp,17.5 kmpl,Chennai
Manual,Hyundai Grand i10 Nios,2022,₹ 6.90 Lakh,Petrol,5 Seats,"20,000 Kms",First Owner,1197 CC,81.86bhp,20.7 kmpl,Chennai
Manual,Kia Sonet,2022,₹ 13.50 Lakh,Petrol,5 Seats,"10,000 Kms",First Owner,998 CC,118.36bhp,18.2 kmpl,Chennai
Automatic,MG Astor,2022,₹ 15.50 Lakh,Petrol,5 Seats,"20,000 Kms",First Owner,1498 CC,108.49bhp,14.82 kmpl,Chennai
Automatic,Toyota Glanza,2019,₹ 7.90 Lakh,Petrol,5 Seats,"47,000 Kms",First Owner,1197 CC,81.80bhp,19.56 kmpl,Chennai
Manual,Maruti Alto K10,2014,₹ 2.70 Lakh,Petrol,5 Seats,"60,333 Kms",Second Owner,998 CC,67.05bhp,23.95 kmpl,Chennai
Manual,Hyundai Grand i10,2014,₹ 3.65 Lakh,Diesel,5 Seats,"81,058 Kms",First Owner,1186 CC,73.97bhp,24 kmpl,Chennai
Manual,Honda Civic,2010,₹ 4.25 Lakh,Petrol,5 Seats,"51,800 Kms",Second Owner,1799 CC,130bhp,13.5 kmpl,Chennai
Manual,Hyundai Grand i10,2016,₹ 5.28 Lakh,Petrol,5 Seats,"32,797 Kms",Second Owner,1197 CC,82bhp,18.9 kmpl,Chennai
Manual,Hyundai Grand i10,2016,₹ 5.11 Lakh,Petrol,5 Seats,"69,731 Kms",First Owner,1197 CC,82bhp,18.9 kmpl,Chennai
Manual,Honda City,2016,₹ 6.25 Lakh,Petrol,5 Seats,"54,000 Kms",Second Owner,1497 CC,117.3bhp,17.8 kmpl,Chennai
Manual,Nissan Micra Active,2016,₹ 3.27 Lakh,Petrol,5 Seats,"1,10,267 Kms",Second Owner,1198 CC,67.04bhp,19.49 kmpl,Chennai
Manual,Mahindra KUV 100,2018,₹ 5.05 Lakh,Petrol,6 Seats,"31,767 Kms",First Owner,1198 CC,82bhp,18.15 kmpl,Chennai
Manual,Honda WR-V,2018,₹ 6.40 Lakh,Petrol,5 Seats,"45,677 Kms",Second Owner,1199 CC,88.7bhp,17.5 kmpl,Chennai
Manual,Maruti Celerio,2017,₹ 4.49 Lakh,Petrol,5 Seats,"66,656 Kms",First Owner,998 CC,65.71bhp,25.24 kmpl,Chennai
Manual,Honda Amaze,2019,₹ 7.25 Lakh,Diesel,5 Seats,"27,000 Kms",First Owner,1498 CC,98.63bhp,24.7 kmpl,Chennai
Manual,Renault KWID,2021,₹ 4.95 Lakh,Petrol,5 Seats,"37,004 Kms",First Owner,999 CC,67bhp,21.74 kmpl,Chennai
Manual,Hyundai i10,2011,₹ 2.71 Lakh,Petrol,5 Seats,"85,274 Kms",Second Owner,1197 CC,78.9bhp,20.36 kmpl,Chennai
Manual,Hyundai Creta,2017,₹ 9.40 Lakh,Diesel,5 Seats,"60,000 Kms",Second Owner,1582 CC,126.2bhp,19.67 kmpl,Chennai
Manual,Honda City,2017,₹ 7.99 Lakh,Petrol,5 Seats,"42,000 Kms",First Owner,1497 CC,117.60bhp,17.4 kmpl,Chennai
